Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
25-34,Education (Higher Education),Assistant Professor,47500,0.0,West Virginia,Clarksburg,5-7 years,5-7 years,PhD,Woman,White,47500.0,54.0
25-34,Government and Public Administration,Economic Self Sufficiency Specialist ,27012,0.0,Florida,Tampa,2 - 4 years,2 - 4 years,College degree,Woman,White,27012.0,12.0
25-34,Engineering or Manufacturing,Senior project engineer,78000,3000.0,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree,Man,White,81000.0,48.0
25-34,Education (Primary/Secondary),"Library Media Specialist, K-12",74155,0.0,New York,Westchester,11 - 20 years,2 - 4 years,Master's degree,Woman,White,74155.0,36.0
35-44,Government and Public Administration,"Manager, Airport Parking",115000,0.0,New York,New York City,11 - 20 years,5-7 years,Master's degree,Man,White,115000.0,36.0
25-34,"Marketing, Advertising & PR",Senior Strategist,100000,10000.0,Illinois,Chicago,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,110000.0,17.0
35-44,Education (Higher Education),Instructional Designer,60000,0.0,Michigan,Saginaw,11 - 20 years,5-7 years,Master's degree,Woman,White,60000.0,26.0
25-34,"Marketing, Advertising & PR",Senior Specialist,68000,0.0,Texas,San Antonio,8 - 10 years,8 - 10 years,Master's degree,Woman,White,68000.0,48.0
35-44,Engineering or Manufacturing,Production Coordinator III,106000,3500.0,Illinois,Chicago suburbs,11 - 20 years,11 - 20 years,Master's degree,Woman,White,109500.0,17.0
35-44,Education (Higher Education),program administrator,100000,0.0,California,Los Angeles,21 - 30 years,11 - 20 years,PhD,Woman,White,100000.0,6.0
35-44,"Accounting, Banking & Finance",Supervisor - Financial and Business Services,116300,17445.0,South Carolina,Columbia,11 - 20 years,5-7 years,Master's degree,Woman,White,133745.0,45.0
35-44,Computing or Tech,Engineering Lead,145000,65000.0,Illinois,Chicago,21 - 30 years,21 - 30 years,Some college,Man,White,210000.0,17.0
25-34,Nonprofits,Campaign Manager,68000,0.0,District of Columbia,Washington,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Non-binary,White,68000.0,11.0
25-34,Engineering or Manufacturing,Quality Control Supervisor,60000,1000.0,Colorado,Lafayette,11 - 20 years,8 - 10 years,College degree,Woman,White,61000.0,8.0
25-34,Law,Attorney ,113000,0.0,Washington,Seattle ,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,113000.0,53.0
35-44,Nonprofits,Events & Development Director,45000,1000.0,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Woman,White,46000.0,8.0
18-24,"Accounting, Banking & Finance",Financial Analyst,50500,5000.0,Iowa,Muscatine,1 year or less,1 year or less,College degree,Woman,White,55500.0,19.0
25-34,Computing or Tech,Senior Digital Strategist,92000,7000.0,District of Columbia,"Washington, D.C.",8 - 10 years,8 - 10 years,Master's degree,Woman,White,99000.0,11.0
35-44,"Accounting, Banking & Finance",Manager - Technical Accounting,150000,0.0,Virginia,Mclean,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer,150000.0,51.0
35-44,"Accounting, Banking & Finance",Loan Servicing Specialist,41200,4000.0,Virginia,Ruther Glen,8 - 10 years,8 - 10 years,Some college,Woman,Black or African American,45200.0,51.0
35-44,Computing or Tech,Systems Administrator,60000,0.0,Missouri,Columbia,21 - 30 years,8 - 10 years,College degree,Man,White,60000.0,29.0
35-44,"Accounting, Banking & Finance",Sr Finance Analyst,90000,16000.0,New York,New York,11 - 20 years,2 - 4 years,Master's degree,Woman,White,106000.0,36.0
25-34,Education (Higher Education),Career Coach,49050,0.0,Texas,Austin,5-7 years,5-7 years,Master's degree,Woman,White,49050.0,48.0
35-44,Government and Public Administration,Rental Assistance Specialist,43944,4000.0,Oklahoma,Oklahoma City,5-7 years,5-7 years,College degree,Woman,"Native American or Alaska Native, White",47944.0,40.0
25-34,"Accounting, Banking & Finance",Revenue auditor,58000,0.0,Washington,Tacoma ,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",58000.0,53.0
35-44,Government and Public Administration,Senior Policy Advisor,1334782,0.0,District of Columbia,DC,11 - 20 years,11 - 20 years,PhD,Woman,"Black or African American, White",1334782.0,11.0
25-34,Education (Primary/Secondary),Teacher,42000,500.0,Connecticut,Hamden,8 - 10 years,8 - 10 years,Master's degree,Woman,White,42500.0,9.0
35-44,Nonprofits,Director of Programs,71000,0.0,Massachusetts,Boston,11 - 20 years,2 - 4 years,PhD,Woman,White,71000.0,25.0
25-34,Computing or Tech,Director of Data Science,180000,0.0,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Woman,Asian or Asian American,180000.0,6.0
25-34,Health care,Registrar/Clerical Tech Assistant,31200,0.0,Idaho,Meridian,8 - 10 years,1 year or less,College degree,Woman,White,31200.0,16.0
35-44,Government and Public Administration,School District Accountant,75000,0.0,New York,Too small to list,11 - 20 years,11 - 20 years,Master's degree,Woman,White,75000.0,36.0
45-54,Education (Higher Education),professor,90000,1200.0,Alaska,Fairbanks,21 - 30 years,11 - 20 years,PhD,Woman,White,91200.0,2.0
25-34,Computing or Tech,Staff Software Engineer,200000,250000.0,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White,450000.0,6.0
45-54,Education (Higher Education),Librarian,80000,12000.0,Colorado,Boulder,21 - 30 years,21 - 30 years,Master's degree,Woman,White,92000.0,8.0
18-24,Education (Primary/Secondary),Middle School Teacher,40000,0.0,Minnesota,Minneapolis,1 year or less,1 year or less,College degree,Woman,"Asian or Asian American, White",40000.0,27.0
35-44,Education (Higher Education),Director of Library Public Services,64000,0.0,Oklahoma,Tulsa,8 - 10 years,8 - 10 years,Master's degree,Woman,White,64000.0,40.0
35-44,Nonprofits,Development Officer,80500,2000.0,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,PhD,Woman,White,82500.0,11.0
45-54,Computing or Tech,Risk Manager,141000,15000.0,Washington,Redmond,11 - 20 years,5-7 years,Master's degree,Other or prefer not to answer,White,156000.0,53.0
35-44,Nonprofits,Deputy Director,135000,0.0,California,Berkeley,11 - 20 years,11 - 20 years,College degree,Woman,White,135000.0,6.0
35-44,Law,Associate attorney ,255000,65000.0,California,Los Angeles ,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,320000.0,6.0
35-44,Law,Research Analyst,88600,6600.0,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer,95200.0,6.0
25-34,Government and Public Administration,Program Analyst,59000,2400.0,New Jersey,Boston,5-7 years,2 - 4 years,Master's degree,Woman,White,61400.0,34.0
35-44,Computing or Tech,Director of Engineering,135000,0.0,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman,White,135000.0,25.0
55-64,Computing or Tech,Operations Admin,61000,0.0,California,Oakland,11 - 20 years,11 - 20 years,College degree,Woman,White,61000.0,6.0
25-34,Education (Higher Education),Assistant professor,115000,0.0,Massachusetts,Boston,5-7 years,2 - 4 years,PhD,Woman,White,115000.0,25.0
35-44,Health care,Physician,220000,0.0,Virginia,Richmond VA,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,220000.0,51.0
35-44,Nonprofits,Librarian,38000,250.0,Texas,Sherman Texas,5-7 years,5-7 years,Master's degree,Woman,White,38250.0,48.0
25-34,Health care,Lab Supervisor,96000,40000.0,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Woman,White,136000.0,55.0
25-34,Engineering or Manufacturing,Quality Engineer,75000,0.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African,75000.0,6.0
25-34,Engineering or Manufacturing,Superintendent ,77000,20000.0,Oregon,Portland ,2 - 4 years,2 - 4 years,College degree,Woman,White,97000.0,41.0
45-54,Government and Public Administration,Fiscal & budget manager,120660,0.0,Virginia,Arlington,21 - 30 years,11 - 20 years,Master's degree,Woman,White,120660.0,51.0
35-44,Nonprofits,Executive Assistant,54000,0.0,Wisconsin,Madison,11 - 20 years,2 - 4 years,College degree,Woman,White,54000.0,55.0
35-44,Government and Public Administration,Engineer,110824,0.0,Rhode Island,Providence,11 - 20 years,11 - 20 years,College degree,Man,White,110824.0,44.0
25-34,Nonprofits,Program Associate,67000,0.0,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",67000.0,36.0
25-34,Nonprofits,Program Director for Strategic Engagement,72500,0.0,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White,72500.0,11.0
55-64,Computing or Tech,Senior Project Manager ,120000,0.0,Texas,Dallas,31 - 40 years,31 - 40 years,Some college,Woman,White,120000.0,48.0
55-64,Health care,Hospice Nurse,126200,0.0,Washington,Tacoma,31 - 40 years,31 - 40 years,Some college,Woman,White,126200.0,53.0
35-44,Government and Public Administration,Analyst,153000,20000.0,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Woman,White,173000.0,11.0
35-44,Computing or Tech,Clinical analyst ,68000,0.0,Indiana,Indianapolis ,21 - 30 years,5-7 years,College degree,Woman,White,68000.0,18.0
25-34,Engineering or Manufacturing,Aerospace Engineer,110000,0.0,Texas,Houston,2 - 4 years,2 - 4 years,Master's degree,Woman,Middle Eastern or Northern African,110000.0,48.0
25-34,Education (Higher Education),Lab Manager,68000,0.0,Massachusetts,Worcester,2 - 4 years,2 - 4 years,College degree,Woman,White,68000.0,25.0
55-64,"Accounting, Banking & Finance",Sr. Business Process Manager,148000,50000.0,Washington,Redmond,31 - 40 years,31 - 40 years,Master's degree,Woman,White,198000.0,53.0
18-24,Computing or Tech,Software Engineer 2,113000,10000.0,Colorado,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White,123000.0,8.0
45-54,Nonprofits,CEO,143000,0.0,New York,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,143000.0,36.0
55-64,Engineering or Manufacturing,Principal Mechanical Engineer,140000,0.0,Massachusetts,Boston ,31 - 40 years,31 - 40 years,Master's degree,Woman,White,140000.0,25.0
55-64,Nonprofits,"Vice President, Strategy",194000,4800.0,Oregon,Portland,31 - 40 years,31 - 40 years,College degree,Woman,White,198800.0,41.0
25-34,Government and Public Administration,Youth Services Librarian ,62000,0.0,Minnesota,Saint Paul,8 - 10 years,5-7 years,Master's degree,Woman,White,62000.0,27.0
45-54,Education (Primary/Secondary),Research Analyst 3,75000,0.0,Minnesota,St Paul,21 - 30 years,21 - 30 years,Master's degree,Woman,White,75000.0,27.0
45-54,Computing or Tech,Associate Network Engineer,78078,1300.0,Washington,Seattle,21 - 30 years,2 - 4 years,College degree,Man,White,79378.0,53.0
35-44,Nonprofits,Program director ,73000,0.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White,73000.0,25.0
45-54,Education (Higher Education),Executive assistant ,98000,0.0,California,Palo alto,21 - 30 years,11 - 20 years,Master's degree,Woman,White,98000.0,6.0
35-44,Nonprofits,director level,80000,0.0,California,sacramento,11 - 20 years,5-7 years,PhD,Woman,Middle Eastern or Northern African,80000.0,6.0
25-34,Computing or Tech,Senior Security Engineer,180000,0.0,California,Palo Alto,8 - 10 years,8 - 10 years,College degree,Man,White,180000.0,6.0
25-34,Government and Public Administration,Senior management analyst,59000,0.0,Texas,San Antonio ,5-7 years,2 - 4 years,Master's degree,Non-binary,White,59000.0,48.0
55-64,Education (Higher Education),Academic Success Coach,53000,0.0,Maryland,Largo,31 - 40 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,53000.0,24.0
45-54,Education (Higher Education),Librarian,64500,0.0,Oregon,Eugene,21 - 30 years,11 - 20 years,Master's degree,Woman,White,64500.0,41.0
25-34,Engineering or Manufacturing,Staff Engineer,90500,24500.0,Maine,Southern Maine,8 - 10 years,8 - 10 years,College degree,Woman,White,115000.0,23.0
35-44,Engineering or Manufacturing,Engineering manager/Project manager,146000,10000.0,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White,156000.0,6.0
35-44,Engineering or Manufacturing,Director of Marketing,167000,77000.0,Michigan,Prefer not to answer,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American,244000.0,26.0
25-34,Health care,Director of Customer Success,117500,15000.0,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White,132500.0,42.0
35-44,"Marketing, Advertising & PR",Community Development Officer,72000,1500.0,Oregon,Portland,5-7 years,2 - 4 years,College degree,Woman,White,73500.0,41.0
25-34,Nonprofits,Program and Policy Coordinator,48000,0.0,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,College degree,Woman,White,48000.0,11.0
35-44,Government and Public Administration,Librarian,69000,0.0,California,San Jose,2 - 4 years,2 - 4 years,Master's degree,Man,White,69000.0,6.0
35-44,Education (Primary/Secondary),Assistant Principal,48000,0.0,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Woman,White,48000.0,4.0
25-34,Education (Higher Education),Program Manager,124000,0.0,California,Bay Area,11 - 20 years,5-7 years,Master's degree,Woman,White,124000.0,6.0
35-44,Law,Attorney editor,61500,1000.0,Minnesota,Minneapolis,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,62500.0,27.0
35-44,Education (Primary/Secondary),PreK teacher,62000,0.0,Maryland,Church Hill,11 - 20 years,11 - 20 years,Master's degree,Woman,White,62000.0,24.0
45-54,Health care,Registered Dietitian,65000,0.0,Maryland,Towson,11 - 20 years,8 - 10 years,College degree,Woman,White,65000.0,24.0
35-44,Computing or Tech,Project Manager,79999,5000.0,New Jersey,Elmwood Park,11 - 20 years,2 - 4 years,Master's degree,Woman,White,84999.0,34.0
35-44,Nonprofits,CEO,90000,0.0,New York,New York City ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,90000.0,36.0
25-34,Law,Associate,225000,80000.0,New York,New York,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,305000.0,36.0
35-44,"Accounting, Banking & Finance",Communications Manager,81000,2000.0,New York,Buffalo ,8 - 10 years,5-7 years,Master's degree,Woman,White,83000.0,36.0
25-34,Education (Higher Education),Business Analyst,80000,0.0,Texas,College Station,11 - 20 years,11 - 20 years,College degree,Woman,White,80000.0,48.0
55-64,Engineering or Manufacturing,aerospace engineer,108870,0.0,Virginia,hampton,21 - 30 years,21 - 30 years,Master's degree,Woman,White,108870.0,51.0
25-34,Government and Public Administration,Assistant Planner,63000,0.0,Oregon,Portland metro,5-7 years,5-7 years,Master's degree,Woman,White,63000.0,41.0
25-34,Education (Higher Education),Assistant Professor,80000,0.0,California,Los Angeles,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",80000.0,6.0
35-44,Education (Primary/Secondary),occupational therapist,61567,0.0,Missouri,St. Louis,21 - 30 years,21 - 30 years,Master's degree,Woman,White,61567.0,29.0
25-34,Education (Primary/Secondary),Teacher ,46000,2000.0,South Dakota,Sioux falls,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer,48000.0,46.0
25-34,Health care,Fellow physician,78000,0.0,New York,Staten Island,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,78000.0,36.0
35-44,Health care,Clinical psychologist,93000,0.0,California,Riverside and San Bernardino ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,93000.0,6.0
35-44,"Marketing, Advertising & PR",Director of Data Science,130000,2500.0,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Woman,White,132500.0,8.0
35-44,Education (Higher Education),Department Administrator (Office Manager),51800,0.0,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,White,51800.0,35.0
25-34,Health care,Medical biller,35000,0.0,Connecticut,Stamford,8 - 10 years,8 - 10 years,College degree,Woman,White,35000.0,9.0
35-44,Law,"Director, legal counsel",232000,70000.0,California,san mateo ca,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,302000.0,6.0
25-34,Law,Post-Bar Law Clerk,48800,0.0,California, Ventura ,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,48800.0,6.0
25-34,Education (Primary/Secondary),Teacher,47000,2640.0,Virginia,Chester,5-7 years,5-7 years,College degree,Woman,White,49640.0,51.0
35-44,"Accounting, Banking & Finance",Accountant ,81000,3000.0,Illinois,Chicago ,8 - 10 years,2 - 4 years,College degree,Woman,Black or African American,84000.0,17.0
25-34,Nonprofits,Senior Regional Director ,68500,500.0,California,San Francisco,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, Another option not listed here or prefer not to answer",69000.0,6.0
35-44,Education (Primary/Secondary),Information Systems Analyst,65000,0.0,New Jersey,Englewood,8 - 10 years,2 - 4 years,College degree,Woman,White,65000.0,34.0
35-44,Nonprofits,Senior director ,155000,10000.0,District of Columbia,Dc,11 - 20 years,11 - 20 years,Master's degree,Woman,White,165000.0,11.0
